Damage,AC_Mass,Num_ENGS,Month,Year,Day,Night,Dawn,Height,Speed,Sky_NoCloud,Sky_Overcast,Fog,Rain,Seen_1,Seen_2to10,Seen_11to100,Struck_1,Struck_2to10,Struck_11to100,Size_Small,Size_Medium
0,4,2,9,2018,1,0,0,700,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,0,1,0,1200,150,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,9,2018,1,0,0,400,175,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,0,1,0,0,120,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,9,2018,1,0,0,500,148,0,1,0,0,1,0,0,1,0,0,1,0
0,2,2,8,2018,0,1,0,2,104,1,0,0,0,0,1,0,1,0,0,1,0
0,3,2,8,2018,1,0,0,2000,200,0,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,500,136,0,0,0,0,0,1,0,1,0,0,1,0
0,1,2,8,2018,0,0,0,0,100,0,0,0,0,0,0,1,0,1,0,1,0
0,4,2,8,2018,0,1,0,50,135,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,8,2018,0,1,0,5,123,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,0,0,1,350,138,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,300,140,0,0,0,0,1,0,0,1,0,0,1,0
0,3,2,8,2018,1,0,0,0,125,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,8,2018,1,0,0,200,125,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,5,142,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2018,1,0,0,300,145,1,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,1200,143,0,0,0,0,0,1,0,1,0,0,1,0
0,1,1,7,2018,1,0,0,400,90,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,0,140,0,1,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,400,150,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,0,,1,0,0,0,0,1,0,0,1,0,1,0
0,4,2,7,2018,1,0,0,0,90,0,0,0,0,0,1,0,1,0,0,1,0
0,4,2,7,2018,1,0,0,10,146,1,0,0,0,1,0,0,1,0,0,1,0
0,2,1,5,2018,1,0,0,,,0,0,0,0,0,1,0,0,1,0,1,0
0,4,2,4,2018,1,0,0,0,100,0,0,0,0,1,0,0,1,0,0,0,1
1,4,2,4,2018,0,1,0,2000,200,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,3,2018,0,1,0,0,45,1,0,0,0,1,0,0,1,0,0,0,0
1,4,2,3,2018,1,0,0,2000,210,0,0,0,0,0,0,1,1,0,0,0,0
0,4,2,3,2018,1,0,0,200,130,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,11,2017,1,0,0,50,180,1,0,0,0,0,0,1,1,0,0,1,0
0,4,2,11,2017,1,0,0,3000,,1,0,0,0,1,0,0,1,0,0,0,1
0,4,2,10,2017,0,1,0,500,140,1,0,0,0,1,0,0,1,0,0,1,0
0,4,2,8,2017,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0
