Cost,Type_ENG,AC_Mass,Num_ENGS,Month,Time,Height,Speed,Phase,Sky,Birds_Seen,Birds_Struck,Size
1,D,4,2,7,Day,1200,143,Approach,Some Cloud,2 to 10,1,Small
149000,C,3,2,8,Day,0,56,Local,No Cloud,2 to 10,2 to 10,Large
200,D,4,2,6,Day,50,138,Approach,Some Cloud,2 to 10,1,Small
50,D,4,2,6,Day,0,120,Landing Roll,Overcast,1,1,Small
100,D,4,2,5,Day,10,150,Climb,No Cloud,1,1,Small
25000,A,2,2,1,,300,120,Climb,No Cloud,2 to 10,2 to 10,Large
408,D,4,2,8,Dusk,5,145,Climb,No Cloud,2 to 10,1,Small
414,D,4,2,10,Night,1500,210,Climb,No Cloud,,1,Medium
103,D,4,2,7,Day,10,125,Approach,Overcast,11 to 100,1,Medium
207,D,4,2,6,Day,0,80,Take-off run,Some Cloud,2 to 10,2 to 10,Small
207,D,4,2,5,Night,1800,180,Approach,No Cloud,,1,Small
36190,D,4,2,1,Day,400,150,Approach,Some Cloud,2 to 10,2 to 10,Medium
362,D,4,2,6,Day,0,130,Landing Roll,No Cloud,11 to 100,2 to 10,Small
518,A,1,1,6,Day,200,90,Climb,No Cloud,1,1,
207,D,4,2,5,Day,400,150,Climb,No Cloud,,1,Small
466,D,4,2,5,Night,,,Approach,No Cloud,2 to 10,2 to 10,Small
724,D,4,2,5,Night,2200,210,Climb,Some Cloud,,2 to 10,Small
21,D,4,2,5,Day,50,140,Approach,Some Cloud,,1,Small
445,D,4,2,3,Day,400,130,Approach,No Cloud,Over 100,2 to 10,Small
421,,,,10,Night,2000,230,Approach,No Cloud,,1,Small
2104,D,4,2,10,Day,0,90,Take-off run,No Cloud,11 to 100,2 to 10,Small
2104,D,4,2,10,Day,700,155,Approach,No Cloud,11 to 100,2 to 10,Medium
9888,A,1,1,9,Day,800,110,Approach,Some Cloud,2 to 10,1,Large
526,D,4,2,9,Day,10,155,Climb,No Cloud,2 to 10,1,Small
322964,D,4,2,9,Day,3000,,Approach,Some Cloud,1,1,Large
8942,B,3,2,7,Day,0,130,Take-off run,No Cloud,,1,Small
316,D,4,2,7,Night,2500,210,Climb,Some Cloud,,1,Small
526,D,4,2,5,Night,50,130,Approach,No Cloud,2 to 10,2 to 10,Small
3156,A,1,1,4,Day,2000,150,Climb,No Cloud,2 to 10,1,Large
10520,A,1,1,3,Day,1400,135,Approach,Some Cloud,1,1,Medium
400,F,2,2,3,Day,1600,120,Approach,No Cloud,2 to 10,1,Large
1708,D,4,2,11,Day,500,140,Approach,No Cloud,1,1,Small
320,D,4,2,11,Day,3000,210,Climb,Some Cloud,,1,Medium
5874,D,4,2,10,Day,1200,145,Approach,Some Cloud,2 to 10,1,Large
107,D,4,2,5,Night,2500,160,Approach,Some Cloud,,1,Medium
11990,D,4,2,11,Night,1900,165,Approach,No Cloud,11 to 100,2 to 10,Large
5450,D,4,2,11,Night,5000,250,Approach,No Cloud,,1,
55,D,4,2,9,Night,5000,250,Approach,Some Cloud,,1,Small
2507,A,1,1,6,Day,200,65,Approach,Some Cloud,1,1,Large
109,D,4,2,3,Day,0,135,Landing Roll,Overcast,2 to 10,1,Small
109,D,4,2,2,Dawn,2000,195,Climb,Overcast,11 to 100,1,
112,A,2,2,7,Day,75,85,Climb,No Cloud,1,1,Small
32004,A,1,2,9,Night,0,50,Landing Roll,Overcast,2 to 10,1,Large
21260,D,3,2,3,Day,50,140,Climb,Overcast,11 to 100,1,Medium
85725,A,1,1,3,Night,0,40,Landing Roll,Some Cloud,2 to 10,1,Large
4780,A,1,1,9,Day,1300,100,Approach,No Cloud,1,1,Medium
1138,D,3,2,9,Night,200,175,Climb,Some Cloud,1,1,Medium
228,D,4,2,7,Day,800,165,Climb,No Cloud,1,1,Small
591,D,4,2,12,Night,6000,250,Climb,Overcast,,1,Medium
591,D,4,2,11,Night,7000,250,Descent,No Cloud,,1,Small
2364,A,1,1,9,Day,1000,100,Approach,No Cloud,2 to 10,1,Large
82740,A,1,1,9,Night,0,,Take-off run,,2 to 10,1,Large
591,A,2,2,7,Day,10,100,Climb,No Cloud,11 to 100,2 to 10,Small
35592,A,1,1,6,Day,1500,150,Approach,No Cloud,1,1,Large
236,D,4,2,3,Night,4000,250,Approach,No Cloud,,1,Small
47280,D,4,2,3,Night,2000,130,Approach,Overcast,2 to 10,1,Small
1215,D,4,2,10,Night,1900,210,Climb,Overcast,,1,Medium
6075000,D,4,2,10,Night,50,118,Approach,No Cloud,,11-100,Large
114,D,4,2,10,Night,3850,210,Approach,Some Cloud,2 to 10,2 to 10,Large
627,C,2,2,8,Day,600,120,Approach,Some Cloud,2 to 10,1,Small
311040,D,4,2,11,Night,1500,,Approach,No Cloud,1,1,Medium
648,B,3,2,4,Night,2000,170,Approach,Overcast,,1,Large
6522,A,2,2,10,Day,1000,110,Approach,No Cloud,11 to 100,1,Large
1531,D,4,2,7,Night,200,170,Climb,Some Cloud,,2 to 10,Medium
10648,A,2,2,6,Day,1500,130,Climb,No Cloud,1,1,Large
78662,D,3,2,6,Day,0,70,Take-off run,Overcast,2 to 10,1,Large
9534,D,4,2,11,Night,0,,Landing Roll,Overcast,,1,Large
34,,,,11,Day,50,140,Climb,Overcast,,2 to 10,Medium
2043,D,3,2,4,Day,10,123,Climb,No Cloud,2 to 10,1,Medium
24205,C,2,1,4,Night,146,140,Approach,No Cloud,,1,Medium
11577,A,1,1,3,Night,1500,120,Descent,Overcast,,1,Medium
5566,C,1,2,1,Day,2000,150,Approach,No Cloud,1,1,Large
62280,D,2,2,2,Dawn,60,160,Climb,Some Cloud,1,1,Small
2133,C,3,2,10,Night,0,100,Landing Roll,No Cloud,,1,Large
14220,A,2,2,7,Day,0,50,Landing Roll,No Cloud,2 to 10,1,Large
25596,C,3,2,4,Day,500,140,Climb,Some Cloud,2 to 10,2 to 10,Medium
