State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,9,2018,Night,100,150,Climb,No Cloud,None,2 to 10,2 to 10,
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Night,3000,210,Approach,No Cloud,,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Day,700,130,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Day,500,138,Approach,No Cloud,,1,1,Small
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,9,2018,Night,1200,150,Approach,No Cloud,None,1,1,Medium
MD,KBWI,UPS,MD-11,D,Unknown bird,0,4,3,9,2018,Night,1500,160,Approach,,,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Day,,,Arrival,,,,1,
MD,KBWI,GTI,B-767-300,D,Unknown bird,0,4,2,9,2018,Day,400,175,Climb,Some Cloud,None,1,1,Small
MD,KBWI,AAL,B-737-800,D,Sanderling,0,4,2,9,2018,Night,0,120,Take-off run,Overcast,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Day,2500,180,Approach,No Cloud,,,1,Small
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,9,2018,Day,500,148,Approach,Overcast,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,9,2018,Day,1500,185,Climb,Overcast,None,,1,Small
MD,KMTN,BUS,EMB-500,D,Killdeer,0,2,2,8,2018,Night,2,104,Approach,No Cloud,None,2 to 10,1,Small
MD,KBWI,UCA,EMB-145,D,Unknown bird,0,3,2,8,2018,Day,2000,200,Climb,Some Cloud,None,1,1,Small
MD,KADW,BUS,LEARJET-35,D,Unknown bird,0,3,2,8,2018,Day,,,Departure,,,,1,
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Day,500,136,Approach,Some Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Day,,,Departure,,,,1,
MD,KBWI,VTE,EMB-135,D,Unknown bird,0,3,2,8,2018,Day,,,Departure,,,,1,
MD,KHGR,BUS,DA-20 FALCON,D,Unknown bird,0,3,2,8,2018,Day,,,Approach,,,,1,
MD,KHGR,GAJ,BE-300 KING,C,Unknown bird,0,1,2,8,2018,Dusk,0,100,Take-off run,Some Cloud,None,11 to 100,2 to 10,Small
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,8,2018,Night,50,135,Approach,No Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-700,D,Sparrows,0,4,2,8,2018,Night,5,123,Approach,No Cloud,None,1,1,Small
MD,KBWI,FDX,B-767-300,D,Unknown bird,0,4,2,8,2018,Dawn,350,138,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Night,100,138,Approach,No Cloud,None,,1,Medium
MD,KBWI,SKV,EMB-170,D,Microbats,0,4,2,8,2018,Night,100,,Approach,No Cloud,None,,2 to 10,Small
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,8,2018,Day,300,140,Approach,Some Cloud,None,1,1,Small
MD,KBWI,UAL,A-319,D,Unknown bird,0,4,2,8,2018,Night,,,Approach,,,,1,
MD,KBWI,ENY,EMB-145,D,Unknown bird,0,3,2,8,2018,Day,0,125,Take-off run,No Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Day,200,125,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Day,2000,180,Approach,Some Cloud,None,,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Day,100,140,Approach,Some Cloud,None,1,,Small
MD,KBWI,SWA,B-737-700,D,European starling,0,4,2,8,2018,Day,5,142,Approach,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,8,2018,Day,300,145,Approach,No Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,8,2018,Dawn,,,Approach,,,,1,
MD,KBWI,SWA,B-737-800,D,Unknown bird,0,4,2,7,2018,Day,300,149,Approach,Overcast,,1,1,Small
MD,KBWI,AAL,A-321,D,Unknown bird,0,4,2,7,2018,Day,1200,143,Approach,Some Cloud,None,2 to 10,1,Small
MD,KESN,PVT,PA-28,A,Unknown bird,0,1,1,7,2018,Day,400,90,Climb,No Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,7,2018,Night,1800,155,Approach,No Cloud,None,,1,Small
MD,KBWI,SWA,B-737-700,D,Chimney swift,0,4,2,7,2018,Day,0,140,Take-off run,Overcast,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Barn swallow,0,4,2,7,2018,Day,50,,Approach,Overcast,None,,1,Small
MD,KHGR,AAY,MD-80,D,Unknown bird,0,4,2,7,2018,Day,400,150,Climb,No Cloud,None,1,1,Small
MD,KBWI,ASA,B-737-800,D,Mourning dove,0,4,2,7,2018,Day,0,,Landing Roll,No Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,7,2018,Day,13000,280,Descent,No Cloud,None,,1,
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,7,2018,Day,0,90,Landing Roll,Some Cloud,None,2 to 10,1,Small
MD,KBWI,SWA,B-737-800,D,Sparrows,0,4,2,7,2018,Day,10,146,Approach,No Cloud,None,1,1,Small
MD,KBWI,NKS,A-320,D,Unknown bird,0,4,2,7,2018,Day,,,Approach,Some Cloud,None,,1,
MD,KBWI,UAL,B-737-900,D,European starling,0,4,2,7,2018,Day,0,,Landing Roll,No Cloud,None,,1,Small
MD,KBWI,DAL,A-320,D,Chimney swift,0,4,2,6,2018,Day,0,,Take-off run,Some Cloud,None,,1,Small
MD,KBWI,UAL,EMB-145,D,Unknown bird,0,3,2,6,2018,Night,,,Approach,No Cloud,None,,1,
MD,KBWI,SOO,C-208,C,Unknown bird,0,2,1,5,2018,Day,,,Approach,Some Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,FDY,C-208,C,Unknown bird,0,2,1,5,2018,Day,0,50,Landing Roll,Overcast,,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,5,2018,,0,140,Landing Roll,Some Cloud,None,2 to 10,1,Small
MD,KFDK,BUS,C-172,A,Unknown bird,0,1,1,5,2018,Night,100,70,Approach,No Cloud,None,,1,Small
MD,KBWI,FDX,A-321,D,Unknown bird,0,4,2,5,2018,,4000,210,Approach,Some Cloud,None,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,5,2018,Day,0,,Landing Roll,Some Cloud,None,,1,Small
