Date,SPY,Logret,rk_twoscale,rv5,bv,rsv_ss,rk_parzen,rk_th2,medrv,rsv,rv10_ss,rv5_ss,bv_ss,rv10
5/1/2009,71.86,0.00,0.000155,0.000151,0.000140,0.000064,0.000122,0.000157,0.000081,0.000064,0.000149,0.000151,0.000140,0.000149
5/4/2009,74.30,0.0335,0.000150,0.000199,0.000159,0.000041,0.000357,0.000154,0.000077,0.000041,0.000202,0.000199,0.000159,0.000202
5/5/2009,74.05,-0.0034,0.000129,0.000121,0.000120,0.000072,0.000065,0.000127,0.000084,0.000072,0.000117,0.000121,0.000120,0.000117
5/6/2009,75.33,0.0172,0.000250,0.000316,0.000193,0.000082,0.000187,0.000253,0.000117,0.000082,0.000281,0.000316,0.000193,0.000281
5/7/2009,74.29,-0.0140,0.000279,0.000362,0.000253,0.000166,0.000217,0.000286,0.000171,0.000166,0.000348,0.000362,0.000253,0.000348
5/8/2009,76.02,0.0231,0.000242,0.000322,0.000173,0.000063,0.000236,0.000245,0.000120,0.000063,0.000342,0.000322,0.000173,0.000342
5/11/2009,74.60,-0.0189,0.000176,0.000186,0.000125,0.000141,0.000183,0.000177,0.000042,0.000141,0.000223,0.000186,0.000125,0.000223
5/12/2009,74.38,-0.0030,0.000181,0.000188,0.000193,0.000106,0.000206,0.000184,0.000093,0.000106,0.000153,0.000188,0.000193,0.000153
5/13/2009,72.51,-0.0255,0.000241,0.000358,0.000275,0.000290,0.000207,0.000248,0.000105,0.000290,0.000462,0.000358,0.000275,0.000462
5/14/2009,73.13,0.0085,0.000201,0.000164,0.000170,0.000076,0.000076,0.000202,0.000091,0.000076,0.000113,0.000164,0.000170,0.000113
5/15/2009,72.53,-0.0082,0.000150,0.000132,0.000146,0.000075,0.000118,0.000148,0.000082,0.000075,0.000114,0.000132,0.000146,0.000114
5/18/2009,74.59,0.0280,0.000157,0.000160,0.000080,0.000018,0.000145,0.000155,0.000030,0.000018,0.000174,0.000160,0.000080,0.000174
5/19/2009,74.50,-0.0012,0.000119,0.000140,0.000132,0.000078,0.000100,0.000121,0.000079,0.000078,0.000110,0.000140,0.000132,0.000110
5/20/2009,74.00,-0.0067,0.000206,0.000280,0.000193,0.000123,0.000372,0.000207,0.000140,0.000123,0.000215,0.000280,0.000193,0.000215
5/21/2009,72.94,-0.0145,0.000220,0.000228,0.000121,0.000171,0.000236,0.000224,0.000089,0.000171,0.000270,0.000228,0.000121,0.000270
5/22/2009,72.78,-0.0021,0.000131,0.000125,0.000119,0.000064,0.000107,0.000132,0.000048,0.000064,0.000119,0.000125,0.000119,0.000119
5/26/2009,74.65,0.0253,0.000187,0.000192,0.000133,0.000042,0.000415,0.000191,0.000057,0.000042,0.000241,0.000192,0.000133,0.000241
5/27/2009,73.31,-0.0180,0.000195,0.000188,0.000186,0.000122,0.000193,0.000200,0.000109,0.000122,0.000179,0.000188,0.000186,0.000179
5/28/2009,74.34,0.0138,0.000288,0.000307,0.000221,0.000098,0.000277,0.000295,0.000070,0.000098,0.000349,0.000307,0.000221,0.000349
5/29/2009,75.65,0.0176,0.000190,0.000210,0.000154,0.000056,0.000191,0.000193,0.000104,0.000056,0.000207,0.000210,0.000154,0.000207
6/1/2009,77.48,0.0239,0.000151,0.000166,0.000088,0.000028,0.000299,0.000152,0.000041,0.000028,0.000176,0.000166,0.000088,0.000176
6/2/2009,77.55,0.0008,0.000124,0.000135,0.000116,0.000072,0.000053,0.000125,0.000070,0.000072,0.000117,0.000135,0.000116,0.000117
6/3/2009,76.57,-0.0127,0.000118,0.000147,0.000080,0.000091,0.000170,0.000120,0.000040,0.000091,0.000127,0.000147,0.000080,0.000127
6/4/2009,77.29,0.0094,0.000093,0.000080,0.000066,0.000032,0.000057,0.000092,0.000031,0.000032,0.000088,0.000080,0.000066,0.000088
6/5/2009,77.30,0.0002,0.000230,0.000227,0.000216,0.000142,0.000140,0.000235,0.000091,0.000142,0.000247,0.000227,0.000216,0.000247
6/8/2009,76.99,-0.0041,0.000142,0.000157,0.000157,0.000072,0.000205,0.000144,0.000060,0.000072,0.000165,0.000157,0.000157,0.000165
6/9/2009,77.38,0.0051,0.000103,0.000095,0.000080,0.000047,0.000048,0.000102,0.000046,0.000047,0.000076,0.000095,0.000080,0.000076
6/10/2009,77.18,-0.0025,0.000153,0.000179,0.000120,0.000087,0.000163,0.000153,0.000061,0.000087,0.000200,0.000179,0.000120,0.000200
6/11/2009,77.53,0.0044,0.000154,0.000143,0.000103,0.000055,0.000155,0.000156,0.000075,0.000055,0.000149,0.000143,0.000103,0.000149
6/12/2009,77.74,0.0027,0.000083,0.000097,0.000075,0.000048,0.000060,0.000086,0.000040,0.000048,0.000079,0.000097,0.000075,0.000079
6/15/2009,75.96,-0.0232,0.000153,0.000195,0.000092,0.000167,0.000222,0.000156,0.000046,0.000167,0.000213,0.000195,0.000092,0.000213
6/16/2009,74.93,-0.0137,0.000114,0.000108,0.000101,0.000063,0.000114,0.000115,0.000059,0.000063,0.000131,0.000108,0.000101,0.000131
6/17/2009,74.85,-0.0010,0.000126,0.000155,0.000165,0.000084,0.000100,0.000128,0.000127,0.000084,0.000154,0.000155,0.000165,0.000154
6/18/2009,75.40,0.0073,0.000104,0.000092,0.000085,0.000036,0.000089,0.000103,0.000039,0.000036,0.000106,0.000092,0.000085,0.000106
6/19/2009,75.68,0.0037,0.000082,0.000092,0.000059,0.000029,0.000082,0.000083,0.000032,0.000029,0.000092,0.000092,0.000059,0.000092
6/22/2009,73.41,-0.0304,0.000131,0.000192,0.000110,0.000162,0.000232,0.000135,0.000053,0.000162,0.000193,0.000192,0.000110,0.000193
6/23/2009,73.47,0.0008,0.000141,0.000160,0.000157,0.000080,0.000047,0.000142,0.000074,0.000080,0.000123,0.000160,0.000157,0.000123
6/24/2009,74.10,0.0086,0.000148,0.000139,0.000117,0.000068,0.000178,0.000145,0.000047,0.000068,0.000144,0.000139,0.000117,0.000144
6/25/2009,75.71,0.0215,0.000125,0.000131,0.000118,0.000034,0.000228,0.000128,0.000067,0.000034,0.000172,0.000131,0.000118,0.000172
6/26/2009,75.51,-0.0026,0.000093,0.000099,0.000079,0.000047,0.000024,0.000093,0.000032,0.000047,0.000063,0.000099,0.000079,0.000063
6/29/2009,76.22,0.0093,0.000057,0.000067,0.000074,0.000032,0.000068,0.000059,0.000025,0.000032,0.000050,0.000067,0.000074,0.000050
6/30/2009,75.60,-0.0081,0.000094,0.000097,0.000083,0.000065,0.000156,0.000096,0.000050,0.000065,0.000094,0.000097,0.000083,0.000094
7/1/2009,75.92,0.0041,0.000074,0.000085,0.000068,0.000040,0.000076,0.000074,0.000026,0.000040,0.000101,0.000085,0.000068,0.000101
7/2/2009,73.84,-0.0277,0.000138,0.000277,0.000115,0.000263,0.000314,0.000149,0.000018,0.000263,0.000362,0.000277,0.000115,0.000362
7/6/2009,73.84,-0.0001,0.000124,0.000099,0.000113,0.000049,0.000079,0.000126,0.000048,0.000049,0.000088,0.000099,0.000113,0.000088
7/7/2009,72.41,-0.0196,0.000090,0.000099,0.000098,0.000069,0.000124,0.000091,0.000060,0.000069,0.000096,0.000099,0.000098,0.000096
7/8/2009,72.36,-0.0007,0.000169,0.000172,0.000173,0.000079,0.000214,0.000170,0.000119,0.000079,0.000198,0.000172,0.000173,0.000198
7/9/2009,72.50,0.0019,0.000145,0.000138,0.000133,0.000067,0.000038,0.000148,0.000059,0.000067,0.000100,0.000138,0.000133,0.000100
7/10/2009,72.32,-0.0024,0.000130,0.000131,0.000107,0.000057,0.000059,0.000131,0.000076,0.000057,0.000117,0.000131,0.000107,0.000117
7/13/2009,74.08,0.0240,0.000121,0.000119,0.000067,0.000027,0.000187,0.000123,0.000027,0.000027,0.000129,0.000119,0.000067,0.000129
7/14/2009,74.50,0.0056,0.000094,0.000063,0.000056,0.000032,0.000043,0.000091,0.000045,0.000032,0.000070,0.000063,0.000056,0.000070
7/15/2009,76.68,0.0288,0.000087,0.000105,0.000042,0.000008,0.000141,0.000089,0.000015,0.000008,0.000119,0.000105,0.000042,0.000119
